iter	Logloss
0	0.6616072571
1	0.633168962
2	0.6072075809
3	0.5837879034
4	0.5649349272
5	0.5451643899
6	0.5274926604
7	0.5107872279
8	0.4957635164
9	0.4819547318
10	0.4709579286
11	0.4592903459
12	0.4493061133
13	0.4399016044
14	0.4315090214
15	0.4230648989
16	0.4158817245
17	0.4086452196
18	0.4024892442
19	0.3965759251
20	0.3908769951
21	0.3857021135
22	0.3802327691
23	0.3756289933
24	0.3711533677
25	0.3676626452
26	0.3646430643
27	0.3608272414
28	0.3574671296
29	0.3542660363
30	0.3508715312
31	0.3486479771
32	0.3460675301
33	0.3432754316
34	0.3411136083
35	0.3393375209
36	0.3367017977
37	0.3345912415
38	0.3328165662
39	0.330792256
40	0.3288137137
41	0.3275578254
42	0.326270792
43	0.3248331531
44	0.3235746654
45	0.322507752
46	0.3212942078
47	0.319855124
48	0.3186246471
49	0.3176508735
50	0.3166992225
51	0.3159503374
52	0.3144773009
53	0.3135093463
54	0.3127700832
55	0.31162614
56	0.3106368059
57	0.3090114632
58	0.3080348541
59	0.3072627507
60	0.3066961587
61	0.3059116631
62	0.3051488525
63	0.3038397194
64	0.3029892275
65	0.3022540162
66	0.301543485
67	0.30054409
68	0.2997340639
69	0.2988624271
70	0.2982906076
71	0.2977548685
72	0.2969142123
73	0.2964649082
74	0.2956254025
75	0.2949678159
76	0.2945393116
77	0.2939258781
78	0.2932585815
79	0.2927289057
80	0.2920704939
81	0.2916550449
82	0.2911228885
83	0.290537012
84	0.2900545473
85	0.2896315368
86	0.2890342671
87	0.2884729868
88	0.287988526
89	0.2870189186
90	0.2864798203
91	0.2860700067
92	0.285623186
93	0.2851796434
94	0.2848111435
95	0.2844982306
96	0.284096393
97	0.2835844691
98	0.2832209762
99	0.2828274877
100	0.2823706562
101	0.2820587494
102	0.2812640853
103	0.2808240779
104	0.2804662211
105	0.2800161768
106	0.2795874629
107	0.2792788526
108	0.2788842715
109	0.2785345872
110	0.2781919664
111	0.2777861615
112	0.2771345902
113	0.2768442266
114	0.2764377653
115	0.2760054372
116	0.2757487077
117	0.2753678975
118	0.2749874173
119	0.2746614401
120	0.2742564808
121	0.2739620406
122	0.2735602338
123	0.2732143092
124	0.2728812743
125	0.2725640452
126	0.2722946728
127	0.2719548176
128	0.2716172103
129	0.2713162667
130	0.2709865316
131	0.2705049089
132	0.2700519287
133	0.2697636933
134	0.269572194
135	0.2692548053
136	0.2689827956
137	0.2687928598
138	0.2684911134
139	0.2681416518
140	0.2678319617
141	0.2674726193
142	0.2668256956
143	0.2666655516
144	0.2661801168
145	0.26579729
146	0.2654569587
147	0.2650259276
148	0.2648138379
149	0.2645698097
150	0.264382238
151	0.2640177782
152	0.2636483896
153	0.2634179872
154	0.2631985484
155	0.2629980269
156	0.2627548759
157	0.2625458566
158	0.2623388081
159	0.2619172289
160	0.2616341432
161	0.2614634281
162	0.2610631737
163	0.2607225132
164	0.2604281702
165	0.260191
166	0.2600118513
167	0.2598452584
168	0.2596398431
169	0.2594872946
170	0.2591508227
171	0.2587141168
172	0.2585356994
173	0.258333681
174	0.2578757407
175	0.2574252171
176	0.2572089912
177	0.2568913418
178	0.2564458079
179	0.2560582305
180	0.2555195219
181	0.2553615693
182	0.255077049
183	0.254778487
184	0.2544943403
185	0.2543069701
186	0.2540825123
187	0.2539234828
188	0.2537688731
189	0.2535344752
190	0.2533145315
191	0.2531507869
192	0.2529564832
193	0.2527609745
194	0.2525933661
195	0.2523405208
196	0.2521925551
197	0.2519452978
198	0.2517985193
199	0.251619915
200	0.2514059279
201	0.2511719778
202	0.2509791689
203	0.2505836614
204	0.2502823492
205	0.2500313471
206	0.2497697051
207	0.2494182684
208	0.2492656118
209	0.2489504332
210	0.2486108842
211	0.2484672788
