iter	Passed	Remaining
0	177	177721
1	186	92907
2	194	64644
3	202	50490
4	214	42599
5	226	37542
6	239	33914
7	250	31041
8	259	28520
9	266	26399
10	273	24603
11	283	23313
12	292	22214
13	300	21139
14	310	20391
15	318	19603
16	326	18863
17	332	18142
18	339	17517
19	346	16962
20	350	16361
21	356	15862
22	362	15388
23	367	14945
24	373	14569
25	378	14189
26	383	13828
27	389	13535
28	395	13231
29	400	12959
30	408	12766
31	415	12566
32	423	12407
33	430	12221
34	436	12043
35	444	11891
36	450	11715
37	456	11567
38	462	11400
39	469	11271
40	475	11130
41	482	10994
42	489	10890
43	495	10768
44	503	10688
45	511	10610
46	518	10517
47	525	10429
48	533	10346
49	541	10289
50	550	10248
51	558	10178
52	565	10112
53	571	10017
54	578	9936
55	587	9898
56	592	9798
57	599	9737
58	605	9652
59	610	9557
60	618	9513
61	623	9428
62	627	9339
63	636	9305
64	641	9225
65	648	9170
66	654	9109
67	659	9032
68	666	8999
69	671	8927
70	676	8853
71	684	8817
72	688	8748
73	695	8697
74	701	8649
75	706	8585
76	711	8534
77	717	8475
78	722	8417
79	728	8373
80	733	8323
81	738	8266
82	743	8219
83	749	8170
84	754	8120
85	761	8089
86	766	8046
87	772	8004
88	780	7987
89	786	7953
90	795	7944
91	802	7918
92	809	7892
93	815	7862
94	821	7828
95	829	7806
96	835	7776
97	841	7747
98	848	7724
99	854	7693
100	861	7664
101	866	7626
102	871	7587
103	878	7564
104	883	7529
105	888	7494
106	896	7479
107	902	7457
108	910	7441
109	915	7406
110	920	7371
111	927	7350
112	932	7317
113	937	7286
114	945	7279
115	952	7256
116	959	7241
117	965	7220
118	975	7218
119	980	7193
120	986	7164
121	992	7144
122	997	7114
123	1003	7086
124	1028	7201
125	1050	7284
126	1069	7348
127	1082	7375
128	1095	7396
129	1106	7401
130	1114	7393
131	1123	7386
132	1129	7365
133	1137	7348
134	1143	7325
135	1147	7293
136	1154	7271
137	1160	7246
138	1165	7221
139	1173	7207
140	1178	7179
141	1184	7155
142	1191	7142
143	1196	7113
144	1203	7093
145	1208	7069
146	1213	7043
147	1220	7023
148	1224	6996
149	1229	6969
150	1236	6951
151	1241	6924
152	1246	6901
153	1253	6887
154	1258	6862
155	1263	6836
156	1270	6822
157	1275	6799
158	1281	6776
159	1288	6763
160	1294	6748
161	1303	6744
162	1312	6740
163	1325	6755
164	1332	6744
165	1340	6735
166	1346	6718
167	1353	6705
168	1359	6686
169	1367	6674
170	1373	6657
171	1379	6642
172	1387	6633
173	1394	6620
